TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; MAX BRANCH; BFACTOR; TOTAL_NODES;RESULTADO;
9;MINIMAX_T;1;1.698;5;27;14.0;714014; ;
10;MINIMAX_T;2;1.05;5;23;13.0;456746; ;
11;MINIMAX_T;1;1.159;5;25;13.0;552491; ;
12;MINIMAX_T;2;2.405;5;24;15.0;964393; ;
13;MINIMAX_T;1;1.381;5;24;13.0;554096; ;
14;MINIMAX_T;2;1.1;5;24;15.0;511245; ;
15;MINIMAX_T;1;0.968;5;22;12.0;411282; ;
16;MINIMAX_T;2;1.532;5;24;15.0;688908; ;
17;MINIMAX_T;1;1.283;5;26;14.0;577800; ;
18;MINIMAX_T;2;0.91;5;24;14.0;410025; ;
19;MINIMAX_T;1;1.059;5;22;13.0;475966; ;
20;MINIMAX_T;2;1.041;5;24;15.0;470373; ;
21;MINIMAX_T;1;1.258;5;23;13.0;441713; ;
22;MINIMAX_T;2;0.978;5;24;14.0;410025; ;
23;MINIMAX_T;1;1.034;5;22;13.0;475966; ;
24;MINIMAX_T;2;1.045;5;24;15.0;470373; ;
25;MINIMAX_T;1;1.033;5;23;13.0;441713; ;
26;MINIMAX_T;2;0.916;5;24;14.0;410025; ;
27;MINIMAX_T;1;1.11;5;22;13.0;475966; ;
28;MINIMAX_T;2;1.028;5;24;15.0;470373; ;
29;MINIMAX_T;1;1.041;5;23;13.0;441713; ;
30;MINIMAX_T;2;0.858;5;24;14.0;410025;EMPATE;
1;MINIMAX_T;2;0.501;5;20;13.0;178496; ;
2;MINIMAX_T;1;0.719;5;20;12.0;251843; ;
3;MINIMAX_T;2;1.011;5;24;13.0;463102; ;
4;MINIMAX_T;1;1.655;5;24;13.0;825619; ;
5;MINIMAX_T;2;2.485;5;23;14.0;1179382; ;
